school_name,n_places_0,vacancy_rate_0,n_places_1,vacancy_rate_1,n_places_2,vacancy_rate_2,n_places_3,vacancy_rate_3,lat,lon
xishan primary school,71.0,0.3277777777777778,7.0,0.65,0.0,0.65,19.0,0.6833333333333333,1.43350145509511,103.838289310553
bukit timah primary school,71.0,0.3333333333333333,7.0,0.7277777777777777,0.0,0.6777777777777778,19.0,0.7809523809523811,1.33774986691199,103.766855335531
lianhua primary school,71.0,0.3333333333333333,7.0,0.6866666666666666,0.0,0.7777777777777778,19.0,0.7428571428571429,1.35415506887673,103.754210374853
teck whye primary school,71.0,0.3333333333333333,7.0,0.7555555555555555,0.0,0.7333333333333333,19.0,0.7166666666666667,1.38355830308364,103.753682810457
naval base primary school,71.0,0.34444444444444444,7.0,0.75,0.0,0.7047619047619048,19.0,0.55,1.41628015341874,103.838797686677
west view primary school,71.0,0.35,7.0,0.7733333333333333,0.0,0.6533333333333333,19.0,0.8142857142857143,1.38359057382601,103.760289106472
yio chu kang primary school,71.0,0.35,7.0,0.7,0.0,0.74,19.0,0.8,1.37782270940137,103.885568714764
dazhong primary school,71.0,0.3555555555555556,7.0,0.6133333333333333,0.0,0.5133333333333333,19.0,0.7285714285714285,1.35905899221007,103.748161477711
park view primary school,71.0,0.37777777777777777,7.0,0.64,0.0,0.7944444444444444,19.0,0.7277777777777777,1.37777026097219,103.939688717311
eunos primary school,71.0,0.3888888888888889,7.0,0.7333333333333333,0.0,0.7266666666666667,19.0,0.7,1.32438835817339,103.904374787716
montfort junior school,71.0,0.4,7.0,0.7666666666666667,0.0,0.8066666666666666,19.0,0.675,1.37362445234082,103.889741457901
first toa payoh primary school,71.0,0.4,7.0,0.8055555555555556,0.0,0.88,19.0,0.8466666666666667,1.34052616485414,103.855667534587
northoaks primary school,71.0,0.4,7.0,0.76,0.0,0.7888888888888889,19.0,0.7291666666666666,1.4566668656294,103.813610016949
chij our lady of good counsel,71.0,0.2933333333333333,7.0,0.52,0.0,0.6533333333333333,19.0,0.5466666666666666,1.35799494859112,103.864152052213
guangyang primary school,71.0,0.4111111111111111,7.0,0.78,0.0,0.8083333333333333,19.0,0.8333333333333334,1.34604266465632,103.849284759591
oasis primary school,71.0,0.5,7.0,0.9041666666666668,0.0,0.7666666666666667,19.0,0.740625,1.40440925998143,103.910996443708
punggol cove primary school,71.0,0.5,7.0,0.9708333333333332,0.0,0.87,19.0,0.696875,1.41156356476303,103.898970364961
waterway primary school,71.0,0.5,7.0,0.9583333333333334,0.0,0.9166666666666666,19.0,0.75625,1.39915421007324,103.918670764176
meridian primary school,71.0,0.32,7.0,0.5666666666666667,0.0,0.7666666666666667,19.0,0.7388888888888889,1.37597083104555,103.935143222264
stamford primary school,71.0,0.34,7.0,0.7533333333333333,0.0,0.7466666666666667,19.0,0.8444444444444444,1.30409108329892,103.857392979824
damai primary school,71.0,0.3533333333333333,7.0,0.7333333333333333,0.0,0.575,19.0,0.7857142857142857,1.33535131498901,103.921268322538
blangah rise primary school,71.0,0.37333333333333335,7.0,0.7916666666666666,0.0,0.8833333333333333,19.0,0.7666666666666667,1.2761203442885,103.808628381578
angsana primary school,71.0,0.3933333333333333,7.0,0.75,0.0,0.8066666666666666,19.0,0.8333333333333334,1.34857143331006,103.951673027853
farrer park primary school,71.0,0.43333333333333335,7.0,0.7416666666666667,0.0,0.8066666666666666,19.0,0.7777777777777778,1.31250416162069,103.850902684573
cedar primary school,71.0,0.3,7.0,0.625,0.0,0.625,19.0,0.6722222222222223,1.33566084356264,103.87562006259
